Aiolos,Zfpn1a3,Znfn1a3,ikzf3,,,,,,
Arid3a,Bright,Dri1,,,,,,,
Atf2,Creb2,mXBP,Atf-2,CRE-BP,,,,,
Atf3,LRG-21,,,,,,,,
Atfb1,WBP9,Zfhx3,,,,,,,
Atm,,,,,,,,,
Bard1,,,,,,,,,
Batf,B-ATF,SFA-2,,,,,,,
Bcl-2,,,,,,,,,
Bcl6,,,,,,,,,
Bhlhb2,Clast5,Cr8,Dec1-,Sharp2,Stra13,Stra14,Bhihe40,,
C2ta,Ciita,,,,,,,,
Cdkn2c,p18,INK4d,INK4c,p18INK4c,,,,,
Cebpa,Cebp,CBF-1,C/ebpalpha,,,,,,
Clock,bHLHe8,KAT13D,,,,,,,
Ebf1,Olf-1,Olf1,Ebf,O/E-1,,,,,
Egr1,NGF1-A,Krox-1,Egr-1,Krox-24,Krox24,NGF1-A,NGF1A,,
Elf1,p70,Sts1,Elf-1,mElf-1,,,,,
Elk3,Erp,Net,Etrp,Sap-2,,,,,
Ets1,Elf111,E74-like factor,Ets-1,Tpi1,,,,,
Etv5,ERM,,,,,,,,
Fos,FOS,c-fos,,,,,,,
Foxn1,nu,Whn,Hfh11,,,,,,
Foxo1,Afxh,Fkhr1,FKHR,foxo1a,,,,,
FoxP3,SCURFIN,JM2,RP23-54C14.1,sf,,,,,
Gata3,,,,,,,,,
Gata6,,,,,,,,,
Gfi1,PAL1,PAL-1,Gfi-1,AW495828,,,,,
Hes1,Hry,bHLHb39,,,,,,,
Irf1,AU020929,,,,,,,,
Irf4,Spip,LSIRF,,,,,,,
Irf8,ICSBP1,ICSBP,MYLS,,,,,,
Jun,c-Jun,Junc,AP-1,,,,,,
Jund1,Jund,MGC6245,,,,,,,
Klf2,Lkif,,,,,,,,
Klf4,Zie,Gkif,EZF,,,,,,
Klf5,IKLF,Bteb2,CKLF,,,,,,
Lef1,LYMPHOID ENHANCER FACTOR 1,,,,,,,,
Lmo1,TGT1,RBTN1,RBTN-1,,,,,,
Lmo2,tgt2,Rbtn2,Rhom,,,,,,
Mad11,Mad1,,,,,,,,
Maf,c-MAF,,,,,,,,
Mafb,Kresier,Krml1,Krml,kr,,,,,
Mafg,,,,,,,,,
Mafk,NF-E2,Nfe2U,,,,,,,
Maz,PUR1,Pgs1-1,SAF-1,SAF-2,,,,,
Mef2a,,,,,,,,,
Mitf,bw,mi,bHLHe32,vit,vitiligo,wh,,,
Mib,,,,,,,,,
Mycl1,Lmyc,L-myc,Lmyc-1,bHLHe38,,,,,
Nab2,,,,,,,,,
Nfatc1,Nfatc1c1,NF-Atc,Nfatcb,NFAT2,NFATc,,,,
Nfatc3,NFAT4,NFATx,,,,,,,
NfKb1,p50,p105,NF-kB1,NF-kappaB1,NF-kappaB1,p50/p105,,,
NfKb2,p52,p49/p100,,NF-kappaB2,lyt,p49,p50B,,
Notch1,Mis6,Tan1,lin-12,,,,,,
Notch3,,,,,,,,,
Nr4a1,Hmr,Gfrp,GFRP1,Hbr-1,Hbr1,N10,NGF1B,NP10,
Nr6a2,RTR,Gcnf,,,,,,,
Nrl,,,,,,,,,
PBX3,,,,,,,,,
Pqs1,,,,,,,,,
Pax5,BSAP,KLP,EBB-1,Pax-5,,,,,
Pax6,Sey,Pax-6,AEY11,Dey,,,,,
Pbx1,Pbx-1,,,,,,,,
Pgs1,SAF,,,,,,,,
Pou2af1,Bob1,OBF-1,BOB-1,OBF.1,OCA-B,OCAB,,,
Pou2f2,oct-2-,Otf-2,Oct2a,Oct2b,Otf2,,,,
Prdm1,Blimp1,PPRD1-BF1,ZNFPR1A1,,,,,,
Rel,c-Rel,,,,,,,,
Rela,p65,,,,,,,,
RelB,,,,,,,,,
Runx1,AML1,Cbfa2,Pebp2a2,Pebp2aB,,,,,
Runx3,AML2,Cbfa3,Pebp2a3,,,,,,
Sfpi1,Dis1,Sfpi1,PU.1,Spi-1,Sfpi-1,Tcfpu1,Tfpu.1,Sfpi1,
Slc22a1,Oct1-,Lx1,Orct1,Orct,,,,,
Smad3,Madh3,,,,,,,,
Sox4,Sox-4,,,,,,,,
Sp1,Sp1-1,,,,,,,,
SpiB,Spi-B,,,,,,,,
Stat3,,,,,,,,,
Stat4,,,,,,,,,
Stat5a,STAT5,,,,,,,,
Stat5b,,,,,,,,,
Stat6,,,,,,,,,
Tal1,Scl,tal-1,SCL/tal-1,bHLHa17,,,,,
Tbx21,TBX21,TBT1,Tbet,Tblym,Tbx21,,,,
Tcf1,Hnf1a,HNF1-alpha,Tcf-1,HNF1,HNF1[a],Hnf-1,Hnf1alpha,LFB1,
Tcf12,Heb,ME1,ALF1,HTF-4,REB,bHLHb20,,,
Tcf4,ME2,E2-2,ASP-12,E2.2,ITF-2,ITF-2b,ITF2,MITF-2A,
Tcfe2a,E47,E12,A1,E2A,ME2,ALF2,Pan1,Pan2,VDIR
Xbp1,TREB5,XBP-1,TREB-5,xbp1,,,,,
Yy1,NF-E1,,,,,,,,
Zbtb7b,Zfp67,c-Krox,Thpok,,,,,,
Zfpn1a1,Ikaros,LyF-1,Ikzf1,Znfn1a1,hlk-1,,,,
Zfp36,Ttp,Gos24 ,Nup475,TIS11D,TiS11,Zfp-36,,,
ZFP46,Zfp-46,Miz-4,,,,,,,
Zfp1a2,HeLIOS,Znfn1a2,Ikzf2,,,,,,
Zfpn1a4,Znfn1a4,Ikzf4,Eos,,,,,,
Zfpn1a5,Ikzf4,,,,,,,,
Zfp105,,,,,,,,,
Aiolos,,,,,,,,,
bcl6,,,,,,,,,
Ebf1,,,,,,,,,